#,Query,TFIDF_Chunk,TFIDF_Score,LSH_Chunk,LSH_Score,P@3
1,What is the minimum GPA requirement?,pg-handbook-chunk-0051,0.0645,no results,—,0.00
2,What happens if a student fails a course?,ug-handbook-chunk-0047,0.1249,no results,—,0.00
3,What is the attendance policy?,pg-handbook-chunk-0051,0.0749,no results,—,0.00
4,How many times can a course be repeated?,ug-handbook-chunk-0026,0.0757,no results,—,0.00
5,What is academic probation?,ug-handbook-chunk-0022,0.0831,no results,—,0.00
6,What are the hostel rules and regulations?,pg-handbook-chunk-0100,0.1181,no results,—,0.00
7,What is the fee refund policy?,pg-handbook-chunk-0057,0.1020,no results,—,0.00
8,How is CGPA calculated?,pg-handbook-chunk-0055,0.0598,no results,—,0.00
9,What are the examination rules?,pg-handbook-chunk-0010,0.0766,no results,—,0.00
10,What is the policy on plagiarism and unfair means?,pg-handbook-chunk-0011,0.0720,no results,—,0.00
11,What scholarships are available for students?,pg-handbook-chunk-0056,0.0906,pg-handbook-chunk-0055,0.0547,0.00
12,What are the grading criteria and grade points?,ug-handbook-chunk-0014,0.0896,no results,—,0.00
13,What are the conditions for course withdrawal?,ug-handbook-chunk-0059,0.0586,no results,—,0.00
14,What happens if a student misses an examination?,ug-handbook-chunk-0053,0.1022,no results,—,0.00
15,What are the disciplinary actions for rule violations?,pg-handbook-chunk-0086,0.0310,no results,—,0.00
